Drug URL,Drug Class
https:$$www.drugs.com$mtm$nevirapine.html,NNRTIs
https:$$www.drugs.com$mtm$arixtra.html,Factor Xa inhibitors
https:$$www.drugs.com$cons$endari.html,Nutraceutical products
https:$$www.drugs.com$cons$solaraze-topical.html,Topical non-steroidal anti-inflammatories
https:$$www.drugs.com$auvelity.html,Miscellaneous antidepressants
https:$$www.drugs.com$cons$lupin-tramadol-acet.html,Narcotic analgesic combinations
https:$$www.drugs.com$cons$belladonna-phenobarbital.html,Anticholinergics / antispasmodics
https:$$www.drugs.com$cons$chromacaps.html,Minerals and electrolytes
https:$$www.drugs.com$pro$donepezil-orally-disintegrating-tablet.html,Cholinesterase inhibitors
https:$$www.drugs.com$mtm$estradiol-and-norethindrone.html,Sex hormone combinations
https:$$www.drugs.com$mtm$pimozide.html,Miscellaneous antipsychotic agents
https:$$www.drugs.com$mtm$tussin-expectorant.html,Expectorants
https:$$www.drugs.com$mtm$haloperidol-injection.html,Miscellaneous antipsychotic agents
https:$$www.drugs.com$cons$first-omeprazole.html,Proton pump inhibitors
https:$$www.drugs.com$pro$acunivive-30-injection-system.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$pro$podofilox.html,Topical keratolytics
https:$$www.drugs.com$mtm$toposar-injection.html,Mitotic inhibitors
https:$$www.drugs.com$cons$zema-pak.html,Glucocorticoids
https:$$www.drugs.com$pro$tolak-cream.html,Topical antineoplastics
https:$$www.drugs.com$mtm$bromplex-dm.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$alka-seltzer-plus-cold-and-sinus.html,Upper respiratory combinations
https:$$www.drugs.com$cons$ratio-ketorolac.html,Ophthalmic anti-inflammatory agents
https:$$www.drugs.com$potassium.html,Urinary pH modifiers
https:$$www.drugs.com$mtm$ziextenzo.html,Colony stimulating factors
https:$$www.drugs.com$mtm$niraparib.html,PARP inhibitors
https:$$www.drugs.com$mtm$insulin-aspart.html,Insulin
https:$$www.drugs.com$synthroid.html,Thyroid drugs
https:$$www.drugs.com$cons$vivotif.html,Bacterial vaccines
https:$$www.drugs.com$increlex.html,Insulin-like growth factors
https:$$www.drugs.com$cons$optiray-160.html,Non-ionic iodinated contrast media
https:$$www.drugs.com$pro$thiamine-hydrochloride-injection.html,Vitamins
https:$$www.drugs.com$cons$acetoxyl-5-topical.html,Topical acne agents
https:$$www.drugs.com$cons$estratest.html,Sex hormone combinations
https:$$www.drugs.com$pro$tylenol-arthritis-pain.html,Miscellaneous analgesics
https:$$www.drugs.com$pro$sulconazole-nitrate-cream.html,Topical antifungals
https:$$www.drugs.com$pro$voriconazole-suspension.html,Azole antifungals
https:$$www.drugs.com$pro$carboprost-injection.html,Uterotonic agents
https:$$www.drugs.com$mtm$pretomanid.html,Miscellaneous antituberculosis agents
https:$$www.drugs.com$mtm$betadine-ophthalmic-solution.html,Ophthalmic anti-infectives
https:$$www.drugs.com$depodur.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$propoxyphene.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$cons$tice-bcg.html,Miscellaneous antineoplastics
https:$$www.drugs.com$mtm$chlortan.html,Antihistamines
https:$$www.drugs.com$pro$hypertonic-dextrose-injection.html,Glucose elevating agents
https:$$www.drugs.com$pro$flurandrenolide-lotion.html,Topical steroids
https:$$www.drugs.com$mtm$beser.html,Topical steroids
https:$$www.drugs.com$mtm$falmina.html,Contraceptives
https:$$www.drugs.com$cons$alti-salbutamol-inhalation-aerosol.html,Adrenergic bronchodilators
https:$$www.drugs.com$mtm$brompheniramine-dextromethorphan-and-phenylephrine.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$rifamycin.html,Rifamycin derivatives
https:$$www.drugs.com$mtm$morning-after.html,Contraceptives
https:$$www.drugs.com$mtm$physostigmine.html,Antidotes
https:$$www.drugs.com$cons$apo-metformin.html,Non-sulfonylureas
https:$$www.drugs.com$cons$tri-lo-sprintec.html,Contraceptives
https:$$www.drugs.com$mtm$tafasitamab.html,CD19 monoclonal antibodies
https:$$www.drugs.com$cons$lopressor.html,Cardioselective beta blockers
https:$$www.drugs.com$pro$lithium-carbonate.html,Antimanic agents
https:$$www.drugs.com$cons$sympt-x.html,Nutraceutical products
https:$$www.drugs.com$mtm$take-action.html,Contraceptives
https:$$www.drugs.com$pro$priloxx-lp-external-kit.html,Topical anesthetics
https:$$www.drugs.com$mtm$provella.html,Probiotics
https:$$www.drugs.com$pro$bedside-care.html,Antiseptic and germicides
https:$$www.drugs.com$pro$fluticasone-and-vilanterol-inhalation-powder.html,Bronchodilator combinations
https:$$www.drugs.com$mtm$comtan.html,Dopaminergic antiparkinsonism agents
https:$$www.drugs.com$mtm$isibloom.html,Contraceptives
https:$$www.drugs.com$mtm$naphcon-a.html,Ophthalmic antihistamines and decongestants
https:$$www.drugs.com$atralin.html,Topical acne agents
https:$$www.drugs.com$mtm$hemin.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$pro$cephalexin-tablets.html,First generation cephalosporins
https:$$www.drugs.com$mtm$potassium-bicarbonate.html,Minerals and electrolytes
https:$$www.drugs.com$cons$osteolite.html,Radiologic conjugating agents
https:$$www.drugs.com$mtm$bevacizumab.html,VEGF/VEGFR  inhibitors
https:$$www.drugs.com$mtm$varicella-virus-chickenpox-vaccine.html,Viral vaccines
https:$$www.drugs.com$pro$juxtapid-capsules.html,Miscellaneous antihyperlipidemic agents
https:$$www.drugs.com$pro$isoxsuprine-hydrochloride.html,Peripheral vasodilators
https:$$www.drugs.com$segluromet.html,Antidiabetic combinations
https:$$www.drugs.com$cons$omnipaque-350.html,Non-ionic iodinated contrast media
https:$$www.drugs.com$pro$isoniazid-tablets.html,Hydrazide derivatives
https:$$www.drugs.com$pro$varibar-nectar.html,Non-iodinated contrast media
https:$$www.drugs.com$cons$allegra-odt.html,Antihistamines
https:$$www.drugs.com$pro$isopto-hyoscine-ophthalmic-solution.html,Mydriatics
https:$$www.drugs.com$mtm$xembify-subcutaneous.html,Immune globulins
https:$$www.drugs.com$mtm$rabeprazole.html,Proton pump inhibitors
https:$$www.drugs.com$pro$clinolipid-injection.html,Intravenous nutritional products
https:$$www.drugs.com$pro$lamotrigine-extended-release-tablet.html,Triazine anticonvulsants
https:$$www.drugs.com$mtm$ascomp-with-codeine.html,Narcotic analgesic combinations
https:$$www.drugs.com$pro$tilade.html,Mast cell stabilizers
https:$$www.drugs.com$cons$perloxx.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$humulin-70-30-kwikpen.html,Insulin
https:$$www.drugs.com$pro$technetium-tc-99m-mebrofenin.html,Radiologic conjugating agents
https:$$www.drugs.com$cons$phenergan-w-codeine.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$binimetinib.html,Multikinase inhibitors
https:$$www.drugs.com$cons$probalan.html,Antigout agents
https:$$www.drugs.com$somatuline-depot.html,Somatostatin and somatostatin analogs
https:$$www.drugs.com$mtm$measles-mumps-and-rubella-mmr-vaccine.html,Vaccine combinations
https:$$www.drugs.com$mtm$cecon.html,Vitamins
https:$$www.drugs.com$mtm$antivenom-centruroides-scorpion.html,Antitoxins and antivenins
https:$$www.drugs.com$pro$tramadol-oral-solution.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$pregabalin.html,Gamma-aminobutyric acid analogs
https:$$www.drugs.com$pro$physiolyte.html,Sterile irrigating solutions
https:$$www.drugs.com$pro$celestone.html,Glucocorticoids
https:$$www.drugs.com$lamisil.html,Miscellaneous antifungals
https:$$www.drugs.com$cons$tinactin-plus-topical.html,Topical antifungals
https:$$www.drugs.com$pro$aurovela-1-20.html,Contraceptives
https:$$www.drugs.com$pro$thiola-tablets.html,Miscellaneous genitourinary tract agents
https:$$www.drugs.com$omidria.html,Ophthalmic surgical agents
https:$$www.drugs.com$braftovi.html,Multikinase inhibitors
https:$$www.drugs.com$cons$atoma-children-s-acetaminophen-dye-free-cherry.html,Miscellaneous analgesics
https:$$www.drugs.com$cons$ceptaz.html,Third generation cephalosporins
https:$$www.drugs.com$mtm$kovaltry-recombinant.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$mtm$norditropin-flexpro-pen.html,Growth hormones
https:$$www.drugs.com$pro$candesartan-and-hydrochlorothiazide-tablets.html,Angiotensin II inhibitors with thiazides
https:$$www.drugs.com$spritam.html,Pyrrolidine anticonvulsants
https:$$www.drugs.com$mtm$tricode-gf.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$sulfoam.html,Miscellaneous topical agents
https:$$www.drugs.com$pro$colestid-oral-suspension.html,Bile acid sequestrants
https:$$www.drugs.com$mtm$hi-vegi-lip.html,Digestive enzymes
https:$$www.drugs.com$neulasta.html,Colony stimulating factors
https:$$www.drugs.com$cons$mylanta-gas.html,Miscellaneous GI agents
https:$$www.drugs.com$pro$mometasone-ointment.html,Topical steroids
https:$$www.drugs.com$prozac.html,Selective serotonin reuptake inhibitors
https:$$www.drugs.com$mtm$levodopa-inhalation.html,Dopaminergic antiparkinsonism agents
https:$$www.drugs.com$cons$attenuvax.html,Viral vaccines
https:$$www.drugs.com$pro$aspirin-and-dipyridamole-capsules.html,Platelet aggregation inhibitors
https:$$www.drugs.com$cons$keppra-xr.html,Pyrrolidine anticonvulsants
https:$$www.drugs.com$mtm$tetrahydrozoline-and-zinc-ophthalmic.html,Ophthalmic antihistamines and decongestants
https:$$www.drugs.com$mtm$vanacof-dm.html,Upper respiratory combinations
https:$$www.drugs.com$pro$hydrocortisone-enema.html,Glucocorticoids
https:$$www.drugs.com$cons$nydrazid.html,Hydrazide derivatives
https:$$www.drugs.com$ziconotide.html,Miscellaneous analgesics
https:$$www.drugs.com$mtm$hydrocortisone-neomycin-and-polymyxin-b-ophthalmic.html,Ophthalmic steroids with anti-infectives
https:$$www.drugs.com$mtm$eflornithine-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$pro$neomycin-and-polymyxin-b-irrigation.html,Topical antibiotics
https:$$www.drugs.com$pro$indiomin-mb.html,Urinary antispasmodics
https:$$www.drugs.com$marqibo.html,Mitotic inhibitors
https:$$www.drugs.com$cons$levo-dromoran.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$mtm$acetaminophen-chlorpheniramine-and-dextromethorphan.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$buffered-salt.html,Minerals and electrolytes
https:$$www.drugs.com$contrave.html,Anorexiants
https:$$www.drugs.com$pro$sodium-sulfate-potassium-sulfate-magnesium-sulfate-oral-solution.html,Laxatives
https:$$www.drugs.com$pro$lidocaine-suppository.html,Topical anesthetics
https:$$www.drugs.com$cons$trinessa-28.html,Contraceptives
https:$$www.drugs.com$ponvory.html,Selective immunosuppressants
https:$$www.drugs.com$pro$nasarel.html,Nasal steroids
https:$$www.drugs.com$mtm$magnesium-sulfate-potassium-sulfate-and-sodium-sulfate.html,Laxatives
https:$$www.drugs.com$mtm$bengay-arthritis.html,Topical rubefacient
https:$$www.drugs.com$mtm$calcium-and-vitamin-d-combination.html,Vitamin and mineral combinations
https:$$www.drugs.com$cons$piqray-250mg-daily-dose.html,PI3K inhibitors
https:$$www.drugs.com$mtm$benzac-ac.html,Topical acne agents
https:$$www.drugs.com$cons$carbocaine.html,Local injectable anesthetics
https:$$www.drugs.com$mtm$refissa.html,Topical acne agents
https:$$www.drugs.com$mtm$poly-hist-forte.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$dimetapp-cold-cough.html,Upper respiratory combinations
https:$$www.drugs.com$cons$tersi-foam-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$acetohydroxamic-acid.html,Miscellaneous genitourinary tract agents
https:$$www.drugs.com$cons$ora-film.html,Topical anesthetics
https:$$www.drugs.com$mtm$caziant.html,Contraceptives
https:$$www.drugs.com$gemfibrozil.html,Fibric acid derivatives
https:$$www.drugs.com$pro$formaldehyde-liquid.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$allanhist-pdx-drops.html,Upper respiratory combinations
https:$$www.drugs.com$pro$phenobarbital-hyoscyamine-sulfate-atropine-sulfate-and-scopolamine-hydrobromide-elixir.html,Anticholinergics / antispasmodics
https:$$www.drugs.com$pro$dextroamphetamine-saccharate-amphetamine-aspartate-dextroamphetamine-sulfate-amphetamine-sulfate.html,CNS stimulants
https:$$www.drugs.com$mtm$eptinezumab.html,CGRP inhibitors
https:$$www.drugs.com$mtm$caffeine-and-ergotamine-oral-rectal.html,Antimigraine agents
https:$$www.drugs.com$mtm$sotrovimab.html,Miscellaneous antivirals
https:$$www.drugs.com$mtm$theratears.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$mtm$fenoglide.html,Fibric acid derivatives
https:$$www.drugs.com$cons$sandimmune-oral.html,Calcineurin inhibitors
https:$$www.drugs.com$mtm$migranal-nasal.html,Antimigraine agents
https:$$www.drugs.com$mtm$tranxene-t-tab.html,Benzodiazepines
https:$$www.drugs.com$mtm$refresh-optive-advanced.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$mtm$midodrine.html,Miscellaneous cardiovascular agents
https:$$www.drugs.com$mtm$cortrosyn.html,Corticotropin
https:$$www.drugs.com$pro$mycostatin.html,Topical antifungals
https:$$www.drugs.com$mtm$cholecalciferol-and-folic-acid.html,Vitamins
https:$$www.drugs.com$mtm$flublok-quadrivalent-2021-2022-injection.html,Viral vaccines
https:$$www.drugs.com$pro$naprosyn-tablets.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$pro$omlonti-eye-drops.html,Ophthalmic glaucoma agents
https:$$www.drugs.com$pro$aktipak.html,Topical acne agents
https:$$www.drugs.com$cons$cyclocort-ointment.html,Topical steroids
https:$$www.drugs.com$mtm$metolazone.html,Thiazide diuretics
https:$$www.drugs.com$mtm$bayer-back-body.html,Analgesic combinations
https:$$www.drugs.com$pro$cefobid.html,Third generation cephalosporins
https:$$www.drugs.com$darzalex.html,CD38 monoclonal antibodies
https:$$www.drugs.com$cons$tigan-intramuscular.html,Anticholinergic antiemetics
https:$$www.drugs.com$cons$aflaxen.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$dalfampridine.html,Miscellaneous central nervous system agents
https:$$www.drugs.com$cons$azmax-twisthaler.html,Inhaled corticosteroids
https:$$www.drugs.com$mtm$tenoretic-100.html,Beta blockers with thiazides
https:$$www.drugs.com$mtm$uricalm.html,Miscellaneous genitourinary tract agents
https:$$www.drugs.com$mtm$liquimat-light.html,Miscellaneous topical agents
https:$$www.drugs.com$cons$adalat-pa-20.html,Calcium channel blocking agents
https:$$www.drugs.com$cons$armonair-respiclick.html,Inhaled corticosteroids
https:$$www.drugs.com$lumakras.html,Miscellaneous antineoplastics
https:$$www.drugs.com$mtm$crofelemer.html,Antidiarrheals
https:$$www.drugs.com$pro$olanzapine-and-fluoxetine-capsules.html,Psychotherapeutic combinations
https:$$www.drugs.com$neurontin.html,Gamma-aminobutyric acid analogs
https:$$www.drugs.com$mtm$jelmyto-gel.html,Antibiotics / antineoplastics
https:$$www.drugs.com$pro$adenovirus-type-4-and-type-7-vaccine-live.html,Viral vaccines
https:$$www.drugs.com$pro$tovet-foam.html,Topical steroids
https:$$www.drugs.com$cons$ixinity-intravenous.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$mtm$advil-childrens-allergy-sinus.html,Upper respiratory combinations
https:$$www.drugs.com$glucotrol.html,Sulfonylureas
https:$$www.drugs.com$mtm$refresh.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$cons$inflamase.html,Ophthalmic steroids
https:$$www.drugs.com$paroxetine.html,Selective serotonin reuptake inhibitors
https:$$www.drugs.com$cons$genaphed.html,Decongestants
https:$$www.drugs.com$toprol.html,Cardioselective beta blockers
https:$$www.drugs.com$mtm$lymphocyte-immune-globulin-anti-thymocyte-equine.html,Selective immunosuppressants
https:$$www.drugs.com$pro$tri-vite-drops-with-fluroide.html,Vitamin and mineral combinations
https:$$www.drugs.com$cons$salbutamol-respirator-solution.html,Adrenergic bronchodilators
https:$$www.drugs.com$pro$ganite.html,Miscellaneous bone resorption inhibitors
https:$$www.drugs.com$mtm$dexbrompheniramine-and-phenylephrine.html,Upper respiratory combinations
https:$$www.drugs.com$vioxx.html,Cox-2 inhibitors
https:$$www.drugs.com$mtm$thrive-gum-lozenge.html,Smoking cessation agents
https:$$www.drugs.com$mtm$cabergoline.html,Prolactin inhibitors
https:$$www.drugs.com$cons$ponstel.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$pro$esomep-ezs.html,Proton pump inhibitors
https:$$www.drugs.com$mtm$olopatadine-ophthalmic.html,Ophthalmic antihistamines and decongestants
https:$$www.drugs.com$cons$ocu-mycin.html,Ophthalmic anti-infectives
https:$$www.drugs.com$pro$animi-3.html,Nutraceutical products
https:$$www.drugs.com$mtm$relexxii.html,CNS stimulants
https:$$www.drugs.com$victoza.html,Incretin mimetics
https:$$www.drugs.com$mtm$stool-softener-with-laxative.html,Laxatives
https:$$www.drugs.com$cons$mydral-ophthalmic.html,Mydriatics
https:$$www.drugs.com$pro$atralin-gel.html,Topical acne agents
https:$$www.drugs.com$mtm$gavilyte-c.html,Laxatives
https:$$www.drugs.com$daliresp.html,Selective phosphodiesterase-4 inhibitors
https:$$www.drugs.com$cerezyme.html,Lysosomal enzymes
https:$$www.drugs.com$pro$benzoyl-peroxide-lotion.html,Topical acne agents
https:$$www.drugs.com$mtm$ramucirumab.html,VEGF/VEGFR  inhibitors
https:$$www.drugs.com$simponi.html,TNF alfa inhibitors
https:$$www.drugs.com$mtm$freshkote-preservative-free.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$mtm$spinosad-topical.html,Topical anti-infectives
https:$$www.drugs.com$pro$isoplate.html,Intravenous nutritional products
https:$$www.drugs.com$mtm$zembrace-symtouch-injection.html,Antimigraine agents
https:$$www.drugs.com$temazepam.html,Benzodiazepines
https:$$www.drugs.com$cons$secura-antifungal-topical.html,Topical antifungals
https:$$www.drugs.com$rotarix.html,Viral vaccines
https:$$www.drugs.com$mtm$paclitaxel-protein-bound.html,Mitotic inhibitors
https:$$www.drugs.com$cons$apo-nifed.html,Calcium channel blocking agents
https:$$www.drugs.com$cons$arbinoxa.html,Antihistamines
https:$$www.drugs.com$mtm$humatrope.html,Growth hormones
https:$$www.drugs.com$cons$prolastin.html,Miscellaneous respiratory agents
https:$$www.drugs.com$pro$oxybutynin-syrup.html,Urinary antispasmodics
https:$$www.drugs.com$pro$pregabalin-oral-solution.html,Gamma-aminobutyric acid analogs
https:$$www.drugs.com$mtm$chemet.html,Chelating agents
https:$$www.drugs.com$mtm$idamycin-pfs.html,Antibiotics / antineoplastics
https:$$www.drugs.com$pro$venelex-ointment.html,Miscellaneous topical agents
https:$$www.drugs.com$cons$apo-fentaynl-matrix.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$duloxetine.html,Serotonin-norepinephrine reuptake inhibitors
https:$$www.drugs.com$mtm$theraflu-severe-cold-cough-nighttime.html,Upper respiratory combinations
https:$$www.drugs.com$pro$sertraline-er-tablets.html,Selective serotonin reuptake inhibitors
https:$$www.drugs.com$mtm$acid-jelly-vaginal.html,Topical anti-infectives
https:$$www.drugs.com$cons$ismo.html,Antianginal agents
https:$$www.drugs.com$pro$marlissa.html,Contraceptives
https:$$www.drugs.com$mtm$reblozyl.html,Miscellaneous erythropoiesis agents
https:$$www.drugs.com$mtm$fluzone-pf-quadrivalent-2021-2022-injection.html,Viral vaccines
https:$$www.drugs.com$cons$prempro-oral.html,Sex hormone combinations
https:$$www.drugs.com$pro$clobetasol-gel.html,Topical steroids
https:$$www.drugs.com$mtm$albalon.html,Ophthalmic antihistamines and decongestants
https:$$www.drugs.com$fish_oil.html,Nutraceutical products
https:$$www.drugs.com$pro$dolishale.html,Contraceptives
https:$$www.drugs.com$cons$folacin-800.html,Vitamins
https:$$www.drugs.com$relyvrio.html,Miscellaneous central nervous system agents
https:$$www.drugs.com$mtm$lopinavir-and-ritonavir.html,Protease inhibitors
https:$$www.drugs.com$topamax.html,Carbonic anhydrase inhibitor anticonvulsants
https:$$www.drugs.com$mtm$indomethacin.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$prednisolone.html,Glucocorticoids
https:$$www.drugs.com$mtm$idecabtagene-vicleucel.html,Miscellaneous antineoplastics
https:$$www.drugs.com$mtm$advil-pm.html,Analgesic combinations
https:$$www.drugs.com$pro$flura-drops.html,Minerals and electrolytes
https:$$www.drugs.com$ongentys.html,Dopaminergic antiparkinsonism agents
https:$$www.drugs.com$mtm$gentamicin-topical.html,Topical antibiotics
https:$$www.drugs.com$pro$avelox-injection.html,Quinolones
https:$$www.drugs.com$pro$cetirizine-oral-solution.html,Antihistamines
https:$$www.drugs.com$cons$clearatadine.html,Antihistamines
https:$$www.drugs.com$mtm$vitapap.html,Miscellaneous analgesics
https:$$www.drugs.com$follistim.html,Gonadotropins
https:$$www.drugs.com$pro$xembify.html,Immune globulins
https:$$www.drugs.com$cons$amethia-lo.html,Contraceptives
https:$$www.drugs.com$pro$avant-original-fragrance-free.html,Antiseptic and germicides
https:$$www.drugs.com$ravicti.html,Urea cycle disorder agents
https:$$www.drugs.com$slynd.html,Progestins
https:$$www.drugs.com$pro$artesunate-injection.html,Miscellaneous antimalarials
https:$$www.drugs.com$mtm$kogenate-fs-recombinant.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$mtm$solaraze.html,Topical non-steroidal anti-inflammatories
https:$$www.drugs.com$combigan.html,Ophthalmic glaucoma agents
https:$$www.drugs.com$mtm$cordran-tape.html,Topical steroids
https:$$www.drugs.com$cons$nia-chrom.html,Minerals and electrolytes
https:$$www.drugs.com$pro$fosamprenavir-tablets.html,Protease inhibitors
https:$$www.drugs.com$mtm$gammagard-s-d-igiv.html,Immune globulins
https:$$www.drugs.com$mtm$cellugel.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$mtm$pediatan.html,Antihistamines
https:$$www.drugs.com$pro$midazolam-syrup.html,Benzodiazepines
https:$$www.drugs.com$pro$carmustine-injection.html,Alkylating agents
https:$$www.drugs.com$pro$divista.html,Nutraceutical products
https:$$www.drugs.com$pro$acunivive-90-injection-system.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$remular-s.html,Skeletal muscle relaxants
https:$$www.drugs.com$mtm$dexmedetomidine.html,"Miscellaneous anxiolytics, sedatives and hypnotics"
https:$$www.drugs.com$cons$cordarone.html,Group III antiarrhythmics
https:$$www.drugs.com$mtm$ciclesonide-inhalation.html,Inhaled corticosteroids
https:$$www.drugs.com$cons$reno-30.html,Ionic iodinated contrast media
https:$$www.drugs.com$mtm$afrin-4-hour-extra-moisturizing.html,Nasal antihistamines and decongestants
https:$$www.drugs.com$levofloxacin.html,Quinolones
https:$$www.drugs.com$adlyxin.html,Incretin mimetics
https:$$www.drugs.com$pro$zyrtec-syrup.html,Antihistamines
https:$$www.drugs.com$pro$trimethobenzamide-capsules.html,Anticholinergic antiemetics
https:$$www.drugs.com$cons$red-cross-canker-sore.html,Topical anesthetics
https:$$www.drugs.com$cons$migranal.html,Antimigraine agents
https:$$www.drugs.com$pro$foltrexyl.html,Vitamin and mineral combinations
https:$$www.drugs.com$bidil.html,Miscellaneous antihypertensive combinations
https:$$www.drugs.com$pro$xylocaine-jelly.html,Topical anesthetics
https:$$www.drugs.com$pro$nutrilipid-iv-fat-emulsion.html,Intravenous nutritional products
https:$$www.drugs.com$pro$tri-femynor.html,Contraceptives
https:$$www.drugs.com$mtm$tolsura.html,Azole antifungals
https:$$www.drugs.com$mtm$cablivi.html,Platelet aggregation inhibitors
https:$$www.drugs.com$pro$recover-lightening-complex.html,Topical depigmenting agents
https:$$www.drugs.com$mtm$supartz-injection.html,Viscosupplementation agents
https:$$www.drugs.com$mtm$bismatrol-maximum-strength.html,Antidiarrheals
https:$$www.drugs.com$cons$dantrium.html,Skeletal muscle relaxants
https:$$www.drugs.com$cons$stadol-ns-nasal.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$mtm$fiorinal-with-codeine.html,Narcotic analgesic combinations
https:$$www.drugs.com$cons$benziq-topical.html,Topical acne agents
https:$$www.drugs.com$mtm$doxylamine.html,"Miscellaneous anxiolytics, sedatives and hypnotics"
https:$$www.drugs.com$invokana.html,SGLT-2 inhibitors
https:$$www.drugs.com$cons$triferic-avnu.html,Iron products
https:$$www.drugs.com$zanaflex.html,Skeletal muscle relaxants
https:$$www.drugs.com$pro$fluorouracil-cream.html,Topical antineoplastics
https:$$www.drugs.com$mtm$su-tuss-hd-elixir.html,Upper respiratory combinations
https:$$www.drugs.com$cons$simply-stuffy.html,Decongestants
https:$$www.drugs.com$mtm$murine-ear-drops-otic.html,Cerumenolytics
https:$$www.drugs.com$motrin.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$tovet.html,Topical steroids
https:$$www.drugs.com$cons$apo-amphetamine-xr-20mg-tablet.html,CNS stimulants
https:$$www.drugs.com$mtm$phenylephrine-and-promethazine.html,Upper respiratory combinations
https:$$www.drugs.com$cons$solucortef.html,Glucocorticoids
https:$$www.drugs.com$pro$benzepro-foam.html,Topical acne agents
https:$$www.drugs.com$mtm$micatin.html,Topical antifungals
https:$$www.drugs.com$pro$dermacinrx-prizopak.html,Topical anesthetics
https:$$www.drugs.com$mtm$m-end-dmx.html,Upper respiratory combinations
https:$$www.drugs.com$pro$my-way-tablets.html,Contraceptives
https:$$www.drugs.com$mtm$kerlone.html,Cardioselective beta blockers
https:$$www.drugs.com$cons$cipro-hc.html,Otic steroids with anti-infectives
https:$$www.drugs.com$mtm$tenapanor.html,NHE3 inhibitors
https:$$www.drugs.com$mtm$refresh-dry-eye-therapy.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$pro$aviane-28.html,Contraceptives
https:$$www.drugs.com$pro$taclonex-topical-suspension.html,Topical antipsoriatics
https:$$www.drugs.com$nucala.html,Interleukin inhibitors
https:$$www.drugs.com$mtm$mylanta-maximum-strength.html,Antacids
https:$$www.drugs.com$mtm$esomeprazole.html,Proton pump inhibitors
https:$$www.drugs.com$saphnelo.html,Selective immunosuppressants
https:$$www.drugs.com$mtm$fortamet.html,Non-sulfonylureas
https:$$www.drugs.com$mtm$backaid-ipf.html,Analgesic combinations
https:$$www.drugs.com$mtm$bupropion-and-dextromethorphan.html,Miscellaneous antidepressants
https:$$www.drugs.com$mtm$iron-polysaccharide.html,Iron products
https:$$www.drugs.com$mtm$etoposide-injection.html,Mitotic inhibitors
https:$$www.drugs.com$mtm$diphenhydramine-and-ibuprofen.html,Analgesic combinations
https:$$www.drugs.com$imcivree.html,Melanocortin receptor agonists
https:$$www.drugs.com$cons$dent-o-kain-20.html,Topical anesthetics
https:$$www.drugs.com$mtm$beractant.html,Lung surfactants
https:$$www.drugs.com$pro$lactated-ringer-s-irrigation.html,Sterile irrigating solutions
https:$$www.drugs.com$pro$etodolac-extended-release-tablets.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$iron-dextran.html,Iron products
https:$$www.drugs.com$cons$mircette-oral.html,Contraceptives
https:$$www.drugs.com$mtm$gonak-hypromellose.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$mtm$interferon-beta-1a.html,Interferons
https:$$www.drugs.com$mtm$sodium-hyaluronate-injection.html,Viscosupplementation agents
https:$$www.drugs.com$mtm$cytarabine-and-daunorubicin-liposomal.html,Antineoplastic combinations
https:$$www.drugs.com$fortical.html,Calcitonin
https:$$www.drugs.com$mtm$theo-24.html,Methylxanthines
https:$$www.drugs.com$mtm$evinacumab.html,Miscellaneous antihyperlipidemic agents
https:$$www.drugs.com$cons$ribo-2.html,Vitamins
https:$$www.drugs.com$pro$penicillamine-capsules.html,Antirheumatics
